DateTime,Animal,VO2_M,VCO2_M,VH2O_M,kcal_hr_M,RER_M,FoodInA_M,WaterInA_M,BodyMass_Mnz,PedSpeed_Mnz,PedMeters_M,PedMeters_R,AllMeters_M,AllMeters_R,XBreak_R,YBreak_R,ZBreak_R,EnviroTemp_M,EnviroRH_M,EnviroBP_M,EnviroLightlux_M,EnviroOccupancy_M,EnviroSound_M,Still_pct_M,Sleep_pct_M
2023/06/26 14:30:02,1_1,1.536559,1.215985,0.3478842,0.4440275,0.7919908,0.3011698,0,0,0.02776579,37.79615,76.88125,40.45279,82.19218,3416,4186,772,24.34842,57.40004,100.9185,31.89972,12.87182,30350.07,8.555555,0
2023/06/26 15:30:02,1_1,1.473638,1.174406,0.3450007,0.42639,0.7970308,1.305642,0.01096418,0,0.02913102,119.3044,85.36733,126.9787,90.17521,3764,4517,465,24.41135,57.09865,100.4426,31.99667,12.78231,30293.19,9.5,0
2023/06/26 16:30:02,1_1,1.516208,1.221392,0.2957231,0.4395741,0.8066348,1.508335,0.03997229,0,0.02696836,200.9423,74.72751,213.5431,79.91068,3519,4139,617,24.36897,57.22881,100.3955,31.72972,12.92682,32375.21,11.97222,0
2023/06/26 17:30:02,1_1,1.463503,1.180565,0.244064,0.4244021,0.8073814,1.713454,0.1073034,0,0.02710814,275.2933,75.64357,293.1723,80.90901,3468,4194,526,24.44962,57.05294,100.3492,31.99778,12.77956,31301.78,9.388889,0
2023/06/26 18:30:02,1_1,1.55517,1.30496,0.2149011,0.4543325,0.8405487,1.863527,0.2465916,0,0.0305678,354.7567,79.85635,377.6808,84.53915,3377,4051,720,24.39225,57.22032,100.3348,13.94611,12.78111,32069.04,12.61111,0
2023/06/26 19:30:02,1_1,1.65486,1.355734,0.2125206,0.4812747,0.8193862,2.187416,0.3668376,0,0.03440863,441.8995,105.8327,469.3832,110.1003,4060,4683,1303,24.31611,57.38756,100.3399,0,12.78094,32314.24,6.777778,0
2023/06/26 20:30:02,1_1,1.69922,1.395536,0.2005761,0.4944052,0.8218771,3.087765,0.5164259,0,0.03721435,554.9298,114.7083,586.316,118.5325,3959,4725,1251,24.3188,57.25119,100.3666,0,12.78369,32981.65,6.75,0
2023/06/26 21:30:02,1_1,1.711035,1.400005,0.1776889,0.4974956,0.8181052,3.394183,0.7550597,0,0.04436446,683.3566,138.9973,718.2454,142.0156,4223,4569,1694,24.31637,57.2779,100.4218,0,12.78004,32044.08,7.472222,0
2023/06/26 22:30:02,1_1,1.706519,1.414108,0.1953542,0.4973636,0.8286148,3.561295,0.9656354,0,0.04458166,822.0401,143.1635,859.9391,146.0999,4146,4581,1819,24.3165,57.28453,100.4549,0,12.78072,32365.32,9.305555,0
2023/06/26 23:30:02,1_1,1.638192,1.399901,0.1979325,0.4802643,0.8550397,3.727774,1.152256,0,0.04215149,954.5783,119.0855,995.9071,122.9254,3822,4149,1449,24.34329,57.28992,100.4756,0,12.77878,31548.23,9.5,0
2023/06/27 00:30:02,1_1,1.669428,1.437093,0.1823726,0.4901184,0.8611292,4.042421,1.342982,0,0.04456508,1077.309,133.674,1122.125,136.7294,3993,4291,1574,24.32432,57.38107,100.4869,0,12.78259,32453.65,9.694445,0
2023/06/27 01:30:02,1_1,1.654305,1.434476,0.1771986,0.4863688,0.8672364,4.254371,1.490112,22.3862,0.03499042,1195.077,88.34644,1243.573,92.88562,3285,3610,1052,24.32222,57.37372,100.4782,0,12.7827,32599.27,11.72222,1.166667
2023/06/27 02:30:02,1_1,1.718982,1.444897,0.1758833,0.5023539,0.8407857,4.463955,1.662289,22.41324,0.0298962,1282.799,86.4397,1335.62,90.95178,3620,3547,1462,24.31986,57.51348,100.4963,0,12.78294,32623.84,8.472222,0
2023/06/27 03:30:02,1_1,1.687747,1.432943,0.1732904,0.4941748,0.8490654,4.683248,1.788536,22.4622,0.02442455,1355.011,64.94751,1412.616,69.63281,3313,2909,1350,24.32099,57.37912,100.4986,0,12.78121,32687.69,11.77778,0
2023/06/27 04:30:02,1_1,1.683332,1.479202,0.18546,0.4962005,0.8790777,5.026868,2.158112,22.51117,0.03167349,1431.261,88.99207,1493.356,93.2467,3775,3502,1692,24.32238,57.20588,100.5108,0,12.78357,32051.38,10.69444,2.194444
2023/06/27 05:30:02,1_1,1.642607,1.426689,0.1972976,0.4830859,0.8686187,5.370612,2.372945,22.5439,0.03366454,1519.04,89.40198,1585.281,93.59473,3345,3582,1476,24.35254,57.23999,100.5425,0,12.78352,30141.08,12.61111,0
2023/06/27 06:30:02,1_1,1.552275,1.330073,0.2015884,0.4553145,0.8562126,5.651972,2.507632,22.51189,0.0347739,1609.732,77.05261,1679.894,79.92603,2766,3018,1220,24.36175,57.2633,100.5859,18.05278,12.78281,30596.84,29.55556,15.77778
2023/06/27 07:30:02,1_1,1.525636,1.28648,0.2030036,0.4461226,0.8417044,5.978993,2.542285,22.47041,0.02649268,1665.83,35.20667,1738.842,38.36218,1591,1949,752,24.40533,56.96544,100.6829,31.73083,12.91117,30205.71,46.05556,31.44444
2023/06/27 08:30:02,1_1,1.421248,1.198453,0.1889251,0.4155977,0.8438161,6.163063,2.54715,22.2368,0.03363293,1680.159,14.37012,1754.682,14.97668,495,572,600,24.42708,56.7002,100.6936,31.99972,12.78351,29161.92,85.13889,83.13889
2023/06/27 09:30:02,1_1,1.461276,1.225931,0.1936399,0.4268862,0.8406093,6.364781,2.683951,22.24147,0.02497289,1700.192,9.488281,1776.133,11.5426,574,746,315,24.39755,56.46763,100.657,30.38361,12.99254,29383.36,70.08334,50.27778
2023/06/27 10:30:02,1_1,1.385877,1.190598,0.1626268,0.4067126,0.8594141,6.508275,2.795973,22.26146,0.02558146,1704.297,7.789429,1781.669,8.674927,329,501,397,24.43021,56.66536,100.7282,31.00194,12.78032,27849.4,84.72222,83.11111
2023/06/27 11:30:02,1_1,1.364558,1.233694,0.159673,0.4045313,0.9053146,6.763017,2.964057,22.39972,0.02863177,1717.854,17.88379,1796.169,18.70959,684,794,731,24.46444,56.20615,100.6964,31.10306,12.7822,27221.67,80.44444,76.36111
2023/06/27 12:30:02,1_1,1.401441,1.19183,0.1443214,0.4104747,0.8502002,6.916563,2.977418,22.30417,0.02601651,1730.925,7.239746,1810.078,7.856812,261,402,485,24.43415,56.07427,100.7026,31.59639,12.77982,28211.21,89.47222,87
2023/06/27 13:30:02,1_1,1.260623,1.089135,0.124184,0.3703618,0.8646759,7.015357,2.977418,22.18931,0.01757623,1737.212,3.863647,1816.785,4.223755,160,269,502,24.43382,56.34071,100.802,31.99806,12.7827,27978.41,93.66666,91.94444
2023/06/27 14:30:02,1_1,1.387625,1.193894,0.1523563,0.4073445,0.861523,7.197495,3.091101,21.8473,0.02454625,1751.833,23.48743,1832.257,24.66345,1112,1091,716,24.40074,56.64783,100.8349,31.42717,12.96182,30148.25,69.91666,64.88889
2023/06/27 15:30:02,1_1,1.160178,0.9999431,0.1659001,0.3406919,0.862094,7.382165,3.161839,21.77067,0.01735998,1763.793,2.735474,1844.831,3.049561,110,217,224,24.43959,56.8494,100.4817,32,12.78284,28909.61,94.11111,92.77778
2023/06/27 16:30:02,1_1,1.244237,1.110185,0.1844362,0.3678842,0.8919498,7.646502,3.1893,21.67764,0.02511501,1767.385,12.60571,1848.799,13.35229,488,630,459,24.44136,56.70142,100.1222,31.99583,12.77969,29209.86,81.61111,76.11111
2023/06/27 17:30:02,1_1,1.407927,1.224042,0.1990962,0.4141457,0.8701168,7.881617,3.432899,21.78106,0.02564183,1784.434,12.94312,1867.239,14.44299,650,715,359,24.41545,56.47808,100.4107,31.36583,12.97487,29886.37,73.19444,56.61111
2023/06/27 18:30:02,1_1,1.2833,1.132916,0.1738588,0.3786294,0.8809315,7.98581,3.455426,21.62609,0.01677694,1792.727,7.950806,1876.582,9.234985,514,644,466,24.42919,56.58022,100.4967,13.94667,12.78067,29528.14,75.66666,69.86111
2023/06/27 19:30:02,1_1,1.441005,1.332383,0.1746821,0.429157,0.9247131,8.614552,3.624947,21.52348,0.021259,1802.384,5.903809,1887.621,6.70874,292,433,608,24.35674,56.92446,100.5712,0,12.78142,29917.29,81.75,80.05556
2023/06/27 20:30:02,1_1,1.403936,1.284315,0.1803635,0.4172018,0.9148996,8.970737,3.76855,21.53584,0.02139417,1807.82,5.761475,1893.728,6.267212,247,418,702,24.34751,56.98338,100.6337,0,12.78199,30188.36,87.91666,83.08334
2023/06/27 21:30:02,1_1,1.328939,1.247951,0.172575,0.397055,0.9384127,9.053775,3.852428,21.68003,0.01205056,1810.774,1.291382,1897.028,1.702515,118,142,248,24.35127,56.94062,100.6367,0,12.78395,30204.59,94.94444,90.38889
2023/06/27 22:30:02,1_1,1.424329,1.338709,0.1977318,0.4256335,0.9419622,9.178896,3.940959,21.59569,0.01973615,1815.766,14.77832,1902.96,16.9292,765,1108,861,24.34842,56.99105,100.6078,0,12.78021,30220.3,62.19444,58.5
2023/06/27 23:30:02,1_1,1.564541,1.453146,0.2388309,0.4663822,0.9284352,10.60964,4.181615,21.61839,0.02097668,1841.109,25.69482,1932.039,30.59436,1574,2300,1304,24.37329,56.94471,100.5615,0,12.7844,29631.71,19.58333,4.111111
2023/06/28 00:30:02,1_1,1.482119,1.345869,0.2492511,0.4397736,0.9082112,12.53193,4.363407,21.62022,0.0160099,1862.687,15.75049,1958.646,20.59851,1588,1801,729,24.35051,56.97416,100.5236,0,12.78243,30236.06,25.94444,10.47222
2023/06/28 01:30:02,1_1,1.518075,1.323775,0.2161297,0.4468097,0.8705064,17.54794,4.367595,21.60572,0.007577615,1868.893,1.778564,1969.244,5.072754,576,957,900,24.35119,57.07838,100.5044,0,12.78156,30211.99,41.36111,22.30556
2023/06/28 02:30:02,1_1,1.35164,1.194416,0.192246,0.3988703,0.8802976,18.87192,4.452029,21.5885,0.009098429,1870.36,2.054688,1973.041,4.773926,581,648,224,24.34388,57.35984,100.5142,0,12.77824,30105.09,61.66667,39.41667
2023/06/28 03:30:02,1_1,1.352689,1.147283,0.1917596,0.3959905,0.8494314,20.87845,4.632399,21.57129,0.007300695,1872.208,0.6734619,1977.721,2.205444,329,352,466,24.34351,57.00548,100.5769,0,12.77937,30130.58,56.97222,39.58333
2023/06/28 04:30:02,1_1,1.401364,1.3013,0.1805719,0.4177207,0.9268698,22.53871,4.711718,21.55408,0.01018786,1872.716,2.55481,1979.562,5.175049,554,651,232,24.35153,56.98952,100.6892,0,12.77925,30286.35,65.08334,40.13889
